"date","obs_gdp","obs_gdpdeflator","obs_corepce","obs_nominalrate"
"1991-09-30",NaN,NaN,NaN,5.65
"1991-12-31",1.7597659393860043,2.1772503803412,3.1433024047309743,4.82
"1992-03-31",4.812552047387619,1.7284210807900102,3.038950618463132,4.02
"1992-06-30",4.4844054508901054,2.575186210197944,2.8463993869716875,3.77
"1992-09-30",3.9384576788482617,1.91736752017031,2.3893445122879164,3.26
"1992-12-31",4.077384089804581,2.731037458648622,2.9936483288387494,3.03
"1993-03-31",0.7445756054127006,2.2947355044692808,2.7775555739125046,3.04
"1993-06-30",2.4019007064545406,2.452196500722814,3.0830669735132155,3.0
"1993-09-30",1.9620162023552767,2.4316021423232748,2.2636647159806733,3.06
"1993-12-31",5.444212958124206,2.1026148952911106,2.06730889309068,2.99
"1994-03-31",3.987797102042645,1.9522815694511975,1.8045738441544223,3.21
"1994-06-30",5.574134652736951,2.009337386363952,2.711782781568073,3.94
"1994-09-30",2.383665133435464,2.1815186868067826,2.235552068847735,4.49
"1994-12-31",4.619986649207841,2.219153949553032,2.048783633194784,5.17
"1995-03-31",1.3727986072141096,2.316291644093882,2.0646095331197545,5.8
"1995-06-30",1.4014690146457731,1.7709283986968138,2.3155842690683714,6.02
"1995-09-30",3.47127727947234,1.9142446447201866,1.8812099463042964,5.8
"1995-12-31",2.872372253997235,1.9857663837719697,2.022289710963898,5.72
"1996-03-31",2.6448313097095832,2.1847967002034174,1.606260467151066,5.37
"1996-06-30",7.171786965116667,1.529568625022737,1.8811290448278672,5.24
"1996-09-30",3.7505001038174113,1.1332818011533297,1.8417539708587505,5.31
"1996-12-31",4.294351220108217,2.04736580771796,2.275201782550984,5.28
"1997-03-31",3.084014073875574,2.506108146308317,1.5761222110539652,5.28
"1997-06-30",6.171299453864609,1.0862156660959688,2.0772042730628826,5.52
"1997-09-30",5.195373103587286,1.4359274468023209,0.9051450600442656,5.53
"1997-12-31",3.135838726810869,1.3376880281420256,1.2551269022529565,5.51
"1998-03-31",4.014730685514967,0.654704155901098,1.1127005455359162,5.52
"1998-06-30",3.937889574269282,0.8380449118090771,1.2181204503171505,5.5
"1998-09-30",5.340278423095168,1.502925902775032,1.401475697360488,5.53
"1998-12-31",6.728829848392515,1.2568141452075299,1.2297937662612668,4.86
"1999-03-31",3.2302776867088046,2.014332588159018,1.2993557931107125,4.73
"1999-06-30",3.341992117320114,1.3480658370297105,1.2464157236817597,4.75
"1999-09-30",5.130621610134822,1.4548419249995392,1.3786144583142868,5.1
"1999-12-31",7.125523930534294,1.8434893841142497,1.8301078543793814,5.3
"2000-03-31",1.164339439139539,3.094355246380065,2.2240361183920143,5.68
"2000-06-30",7.768140743195051,2.2863888515298747,1.3169332449413096,6.27
"2000-09-30",0.48366931587664475,2.6177177628358805,1.8393390137673604,6.52
"2000-12-31",2.2974723689555443,2.1645911094253067,1.9408041262743314,6.47
"2001-03-31",-1.1341009470678287,2.537321486444988,2.2838523918695453,5.6
"2001-06-30",2.1368195312004623,2.855174183213549,1.5662621118273323,4.33
"2001-09-30",-1.2579784391429816,1.3158981726387076,1.1473361915537827,3.5
"2001-12-31",1.1147769461487211,1.2154133711408388,2.048475568309094,2.13
