date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_spread,obs_longinflation
1959-09-30,-0.301959642619121,NaN,0.201710884961603,0.384064848602605,0.66913647150213,0.8925,0.878256983342185,0.609413011842541,0.155,NaN
1959-12-31,-0.082841532084688,NaN,0.580075038462813,0.388656589312442,0.570841626620533,0.9975,-0.076082402649158,-1.74751516155379,0.1725,NaN
1960-03-31,1.84783573503364,NaN,1.69347860250207,0.405262916676508,0.316381796600895,0.9825,0.303044557789578,2.65085758279292,0.205,NaN
1960-06-30,-0.905063443346466,NaN,0.411459690660354,0.247189104854373,0.379507096855169,0.925,1.14566567031371,-2.27581452474055,0.2475,NaN
1960-09-30,0.116595866823643,NaN,0.252441903761724,0.348641853508713,0.389682640441569,0.735,-0.746140578794141,-2.90380364023329,0.3175,NaN
1960-12-31,-1.65611341518632,NaN,0.144911789887703,0.293597981954097,0.330329760545478,0.575,-0.089671952157677,-1.0044138421239,0.3025,NaN
1961-03-31,0.307254168349691,NaN,0.656135971509264,0.215156669183125,0.167644632725228,0.4975,-0.431650552131346,-1.62488086805934,0.3175,NaN
1961-06-30,1.31449237372736,NaN,1.16405087888494,0.232565178318556,0.328691585607466,0.4325,0.885119890900876,1.10444741020933,0.3075,NaN
1961-09-30,1.53577614541203,NaN,0.48031191990312,0.255792650103848,0.436581575801309,0.42,0.228337823141111,1.71313059902521,0.2825,NaN
1961-12-31,1.5735520461261,NaN,0.403570073640447,0.314381728223179,0.240453542315588,0.6,1.3992494714973,2.44240836729527,0.285,NaN
1962-03-31,1.39911484594242,NaN,1.0702892938621,0.51392735025475,0.365297209869153,0.615,0.621907933659083,1.08884517740981,0.26,NaN
1962-06-30,0.534248647691316,NaN,0.517735165894451,0.158959145655402,0.386671697515917,0.6525,1.03601189527403,2.3562211257505,0.285,NaN
1962-09-30,0.8482156552992,NaN,0.485400429609095,0.211553231629713,0.328630813072284,0.7125,0.491923275306316,0.190871632636969,0.265,NaN
1962-12-31,-0.046863352299642,NaN,0.696047734995431,0.20524856934192,0.186498683573877,0.73,1.1075422421454,-0.980497009482617,0.265,NaN
1963-03-31,0.708133409828426,NaN,0.564416260642486,0.438404910853452,0.332572669206499,0.7425,0.179270691943656,0.505637430656303,0.25,NaN
1963-06-30,0.739770020229269,NaN,0.322839217383253,0.17482521935297,0.376330940960612,0.74,0.537845383999636,3.66029362015452,0.2225,NaN
1963-09-30,1.7950547506778,NaN,0.890094298959954,0.133825988029157,0.380505187423008,0.8325,1.32186278575537,1.6165890047859,0.2025,NaN
1963-12-31,0.280045438247578,NaN,0.327125246231241,0.804984801504594,0.484721120661824,0.8625,0.004082132874639,2.03045984485695,0.18,NaN
1964-03-31,1.70602810672928,NaN,-0.470903899410768,0.316738437510278,0.421520313534307,0.865,1.73781290117778,2.41514084311026,0.1625,NaN
1964-06-30,0.706544769555961,-43.3608962085267,0.879691002093441,0.229726726346513,0.29842520075114,0.8725,1.35134446034297,0.067224722851389,0.1625,NaN
1964-09-30,1.17238824767221,-43.8838154339923,0.905232464328864,0.400756247132073,0.275527809728793,0.865,1.38394286793813,0.977644857911419,0.1575,NaN
1964-12-31,-0.064098135055546,-43.6688878551021,0.276830650339965,0.450361334701332,0.2528168425461,0.895,-0.202862767923673,1.03699507772583,0.16,NaN
1965-03-31,2.01434136883467,-43.1009117023273,-0.103229082568801,0.504951287095246,0.378030856987799,0.995,1.6425719200075,3.59346708696857,0.1475,NaN
1965-06-30,0.882069969447463,-42.4693184616876,0.216200369993547,0.457356603106174,0.311212066310729,1.02,0.762175643332741,2.1554796552732,0.1525,NaN
1965-09-30,1.83078218005865,-42.4377741588555,0.658977231124813,0.382345138261053,0.310246540863401,1.02,1.32968101769841,2.12360263904741,0.16,NaN
1965-12-31,1.90131367982322,-42.1717894350088,0.776382990181668,0.68790293918144,0.330955460372273,1.0425,2.03051606839728,2.34281980805315,0.125,NaN
1966-03-31,2.03269638893528,-41.8074613431724,1.07730493057342,0.638908809665173,0.497083366311957,1.14,1.20151301541405,2.23013020317481,0.1,NaN
1966-06-30,-0.038131997359869,-41.8617853041193,0.763662419414846,0.816286039365322,0.810546856902983,1.2275,-0.1144705468207,-0.538084454481824,0.1775,NaN
1966-09-30,0.461720687366185,-42.0836406168765,0.455734544258124,0.962124078423043,0.81993857301188,1.3525,0.554188351995544,-1.22308302460942,0.1825,NaN
1966-12-31,0.433964155865318,-41.9539368011033,0.511499008864402,0.834331419106826,0.86059505299656,1.39,-0.028879804630999,-2.7468669288275,0.285,NaN
1967-03-31,0.490598430192835,-43.2463861373898,0.933998417455761,0.414569737970671,0.550474534820333,1.205,0.048137806636728,-2.33438827167038,0.325,NaN
1967-06-30,-0.33779512848191,-43.5898796756859,1.10579139665171,0.50912513843655,0.66698178584752,0.9975,0.917924466399311,2.00714403726118,0.29,NaN
1967-09-30,0.538971574605451,-43.0356747520521,0.387150952673976,0.952312147410961,0.904749612247624,0.9725,0.082729443046792,0.46910098742412,0.27,NaN
1967-12-31,0.336958954083522,-42.7789656807656,0.245573697107126,1.10579821956516,1.00369543949532,1.0425,-0.060844037962959,2.62348692144028,0.27,NaN
1968-03-31,1.59554302839342,-43.6161022437921,1.54509866852589,1.10406287617177,1.13487893488977,1.1975,1.90729212123157,1.74561576084825,0.305,NaN
1968-06-30,1.23002184517633,-42.9261120986851,0.56543428744692,1.04588912895149,1.15700872471232,1.495,1.04508580673326,-0.776323906219101,0.32,NaN
1968-09-30,0.327635151860406,-43.1691443814862,0.643751123017122,0.979249932606896,1.10930667579385,1.4875,1.46434643180289,0.724198022520661,0.35,NaN
1968-12-31,-0.060051171253184,-43.3653872259547,0.570777560907476,1.40109136041651,1.15557276687746,1.48,-0.31081898699592,2.60706540872766,0.315,NaN
1969-03-31,1.09180864153248,-42.9604401895365,0.333631127537404,1.02570108562952,1.08941450742264,1.6425,0.593989004636053,2.40512624133232,0.3,NaN
1969-06-30,-0.172842421100838,-42.8674165146506,0.333258859612884,1.26506080317426,1.19194345758178,2.0825,0.184132295814465,-0.1363248702,0.31,NaN
1969-09-30,0.17419143067815,-42.9154578972694,0.379459635114443,1.3940723644942,1.14497844339088,2.245,-0.189279499252248,0.460545061976814,0.265,NaN
1969-12-31,-0.98393788225023,-42.8733098747788,0.633818527046681,1.27970305417744,1.16457130773457,2.235,0.176482539753686,-2.72637877724152,0.2675,NaN
1970-03-31,-0.657309259491523,-43.654505054486,0.402340681351177,1.39981477996649,1.08679128269196,2.14,-0.134022223889585,-1.6044661545248,0.3475,NaN
1970-06-30,-0.375176980741565,-45.1620558251283,0.195478416271411,1.38512183013622,1.12514908165688,1.97,-0.347130565718956,-1.85107366170608,0.3175,NaN
1970-09-30,0.392521093032361,-45.9844822015648,0.804549303685931,0.816444028716834,1.10363416080319,1.6775,0.494950284341544,0.117274215945173,0.4875,NaN
1970-12-31,-1.6146433549505,-46.7562174655053,-0.320459805796491,1.31436722405507,1.39812439364699,1.3925,-0.829041522961593,-0.719946579445363,0.6075,NaN
1971-03-31,2.13763644294584,-47.47622335699,0.530034104673038,1.50744186877057,1.25627024111505,0.965,0.787890946434655,1.68862644721355,0.6275,NaN
1971-06-30,-0.009443816879839,-47.4425928913095,0.150259679776732,1.30448207067255,1.13679657989287,1.1425,0.187839925638222,3.2155011135684,0.59,NaN
1971-09-30,0.268393342169793,-47.5732308973462,0.351827688081374,1.01314434304043,0.935412126998969,1.37,0.207189629143722,1.29700857040734,0.555,NaN
1971-12-31,-0.319883741065063,-46.9580842228374,-0.143051376040437,0.830024538003782,0.569022007241848,1.1875,0.870149798261077,2.11487486046226,0.63,NaN
1972-03-31,1.26534447857369,-46.0253731032671,1.23846634911704,1.50759861729441,0.955319864939908,0.8875,0.303551266810032,3.33942226231161,0.55,NaN
1972-06-30,1.68613871074631,-45.7713963393869,0.534771456940786,0.620460109560916,0.673828618205485,1.075,1.28103999826685,1.20507318952305,0.52,NaN
1972-09-30,0.383084114082344,-45.8996502547934,0.369783510671728,0.952910191572842,0.74850335870007,1.185,0.890694928978286,0.597894133703086,0.47,NaN
1972-12-31,1.10521456643551,-45.5155313107462,0.599172353071553,1.26763435407584,0.627091487910336,1.2875,1.31202625728017,3.86983140174952,0.405,NaN
1973-03-31,1.89404534266062,-45.0600768423183,1.44968685234445,1.14531800308391,0.693100674711911,1.635,1.31788471931391,3.15260119886194,0.3425,NaN
1973-06-30,0.535722756853063,-44.4752590444461,-0.146158968696308,1.52445075028318,1.35573149226005,1.955,-0.210885257365456,0.450205618546307,0.32,NaN
1973-09-30,-1.07223977623337,-44.6636283066282,-0.214876291473554,1.92985992150225,1.31758458676279,2.64,-0.307896577665923,-0.656387082786575,0.315,NaN
1973-12-31,0.407713326875991,-44.1464748911932,0.030573739969886,1.97095109239265,1.38338984698665,2.5,-0.778615625552392,-2.00412064164263,0.4225,NaN
1974-03-31,-1.40052607719048,-44.6785911037803,0.385840066734144,1.87194365506209,1.70275177666035,2.3325,-0.367288860188042,-2.41508498345333,0.3725,NaN
1974-06-30,-0.290951818803065,-45.3372332555781,0.250165672781066,2.33356467802985,2.45364043787091,2.8125,0.282768559799829,-1.2601247785709,0.38,NaN
1974-09-30,-1.47350826575755,-45.5794069309242,0.03685727325774,2.88939950833895,2.81919165315987,3.025,-0.321672167853637,-1.33524847430144,0.4625,NaN
1974-12-31,-0.908205123801464,-47.4888475343347,-0.174615561152247,2.89957980588977,2.41177140800528,2.335,-2.39120737204848,-5.14384081953948,0.725,NaN
1975-03-31,-1.73730916127044,-50.2662989891146,0.745358451864153,2.24619327142781,1.93634809529457,1.5775,-0.074652568328326,-5.30539131005401,0.7775,NaN
1975-06-30,0.203544708619363,-50.8036910333797,0.635045770025522,1.47555112783673,1.51141665933539,1.355,0.858246145893182,-0.849873300021808,0.645,NaN
1975-09-30,1.19586522536069,-50.0905400847409,0.002643584705042,1.75037161742755,1.49233353188034,1.54,1.00798241149616,1.31488094996705,0.57,NaN
1975-12-31,0.840896185945983,-49.8924117602393,-0.04385500389732,1.65816131242353,1.61523701713988,1.3525,0.585275217056225,1.27678058040855,0.63,NaN
1976-03-31,1.72914988041353,-48.7427258056422,0.844356956218822,1.05370255219661,1.50670162843429,1.2075,1.52817481588987,3.42373238347311,0.6275,NaN
1976-06-30,0.24612586412418,-48.4794703287409,0.866844359620128,1.00108669241168,1.19315851878272,1.3,0.262505628729559,1.87276951955434,0.5325,NaN
1976-09-30,0.063507137177743,-48.3175775236342,0.788964415142113,1.28565925666502,1.55399746211073,1.32,0.79363824604255,0.750576726743185,0.4725,NaN
1976-12-31,0.247409676611276,-48.8942094354156,0.333846971493945,1.77384073761488,1.55245343798764,1.2175,0.607965209936867,3.93819760861626,0.505,NaN
1977-03-31,0.701667005253837,-48.7674671451382,0.278039345548092,1.59934382963285,1.66625900223338,1.165,0.887480457768275,3.38960389813662,0.44,NaN
1977-06-30,1.46067290176579,-47.2458874414157,0.612235676886297,1.3994733815355,1.51903224653691,1.29,0.372603909426639,5.05095974684716,0.4075,NaN
1977-09-30,1.32627896439392,-47.1722420917481,0.714205668405582,1.21053794423323,1.65076139323519,1.455,0.758948689180095,1.78429192602921,0.3675,NaN
