date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_nominalrate,obs_consumption,obs_investment,obs_spread,obs_longinflation
1959-09-30,-0.4450967262691785,NaN,0.6017424856252451,0.13086152358203762,0.8925,1.188316103469722,1.0854536714379748,0.15500000000000003,NaN
1959-12-31,0.057486071449486253,NaN,1.0577405171197651,0.39156021313693223,0.9975,-0.14373130180822535,-2.086082580088555,0.17249999999999988,NaN
1960-03-31,1.789865434113258,NaN,1.7020362059815164,0.43327624107538654,0.9825,0.271423274409166,2.728396489474849,0.20499999999999985,NaN
1960-06-30,-0.9852665949088957,NaN,-0.38835000263977015,0.38835000263977015,0.925,1.0291400636126102,-2.704282104336131,0.24750000000000005,NaN
1960-09-30,-0.2479473780010899,NaN,0.27201874461003084,0.4297385212546079,0.735,-0.8276761994602477,-3.588538501862515,0.3174999999999999,NaN
1960-12-31,-1.6782638587474752,NaN,0.35440084347292955,0.3424660881364172,0.575,-0.11087835997178885,-1.2500451710257154,0.3024999999999999,NaN
1961-03-31,0.21852938497290975,NaN,1.1658849603703225,0.2134472528632525,0.4975,-0.4010630206260579,-2.0816886515937716,0.3174999999999999,NaN
1961-06-30,1.4025054667986536,NaN,0.4270597410709842,0.2555367659689889,0.4325,0.8271553684021882,0.8798036508376184,0.3074999999999999,NaN
1961-09-30,1.38685957277227,NaN,0.46551907539711945,0.21244962314077576,0.42,0.2686223192850168,1.698180440758601,0.2825000000000001,NaN
1961-12-31,1.6734970697762197,NaN,1.045628791671016,0.2966732415430329,0.6,1.4100861033873535,2.593298598475813,0.28500000000000003,NaN
1962-03-31,1.3566915219229703,NaN,0.8179787468186872,0.5065439281833672,0.615,0.42755132865881507,1.405884517191014,0.26,NaN
1962-06-30,0.6721181796903064,NaN,0.40342705280378977,0.25231300181212113,0.6525,1.0514886471713947,2.3400548951471922,0.2849999999999999,NaN
1962-09-30,0.5865161905598715,NaN,0.399790116922627,0.251677985196741,0.7125,0.5040211007930395,0.22359652967340882,0.2649999999999999,NaN
1962-12-31,-0.1600029340428577,NaN,0.9975145056819512,0.29282597790887266,0.73,1.0421684314579238,-1.2722374270544234,0.265,NaN
1963-03-31,0.9302225822621413,NaN,0.3886667880652561,0.25031302181184323,0.7425,0.2843940272945211,0.4601472745680901,0.2499999999999999,NaN
1963-06-30,0.7663009762922224,NaN,0.34368062316237347,0.2912421447034852,0.74,0.4717746567906467,3.5628829253384176,0.22249999999999992,NaN
1963-09-30,1.4887549940129308,NaN,1.050366214285603,0.20751200640041212,0.8325,1.243339090122264,1.5779963790551133,0.2024999999999999,NaN
1963-12-31,0.3686926021096548,NaN,0.5399148843460655,0.7023371155096214,0.8625,0.1292172522835422,2.2427640728050147,0.17999999999999994,NaN
1964-03-31,1.9655371396605226,-44.126571358797094,0.9802986077296572,0.24671065145178694,0.865,1.7511412928248316,2.802552215539955,0.1625000000000001,NaN
1964-06-30,0.7536533396265588,-43.10255214459481,0.36180112001124587,0.24610348762696965,0.8725,1.3061175519267998,0.0068672158965998875,0.16249999999999987,NaN
1964-09-30,0.801573198979133,-43.62479502761904,1.3522278839536384,0.4496226663142089,0.865,1.3308937041069502,0.834330364902014,0.15749999999999997,NaN
1964-12-31,0.014636314091975855,-43.15246101892723,0.10527079225060021,0.48820275973082694,0.895,-0.2657048581308441,0.9717642873960264,0.15999999999999992,NaN
1965-03-31,2.091089864218598,-42.585798039768605,0.06376172912394007,0.5262104835949355,0.995,1.6636358800600437,3.5448706780716766,0.14749999999999996,NaN
1965-06-30,0.9786131903279482,-42.21158220406432,0.14340950826875476,0.44310243697105456,1.02,0.8416974864104088,2.1346273731924326,0.15250000000000008,NaN
1965-09-30,1.4501180961228766,-42.438076752657665,0.6416560976570007,0.5211477018549182,1.02,1.2299802536483995,1.880992856652841,0.15999999999999992,NaN
1965-12-31,2.0716382070616435,-41.91333222445148,0.5117315168038206,0.6377064257696574,1.0425,2.1362341021438747,2.3970225699157854,0.125,NaN
1966-03-31,2.0346712366990927,-41.54964371059574,1.105578823982023,0.5941788128751124,1.14,1.2805817255339136,2.156142911679515,0.10000000000000009,NaN
1966-06-30,0.022273591577426366,-41.862004324628984,0.8453846996323566,0.8259633977417025,1.2275,-0.128440207118663,-0.8618556411452705,0.1775,NaN
1966-09-30,0.3347663322678329,-41.564350676468166,0.08565329357343998,1.0132588639860884,1.3525,0.5367245165548207,-1.4790124698913942,0.1825000000000001,NaN
1966-12-31,0.41392414493990337,-41.69334614345716,0.7381867680674448,0.8878653191105812,1.39,-0.12813930699133724,-3.3401349714984097,0.2849999999999999,NaN
1967-03-31,0.42962434249456116,-42.721591727145444,1.1399106234724288,0.4601235111716395,1.205,0.12017311108247775,-2.7839846825115533,0.32499999999999996,NaN
1967-06-30,-0.3384374641844712,-43.06229244184642,0.4044026130862244,0.6482386856125455,0.9975,0.8290191316937756,2.012929719726353,0.29000000000000004,NaN
1967-09-30,0.37621072409006473,-42.50806677058369,0.4622610281245998,1.0962120735451997,0.9725,-0.03011589447692309,0.12101304785379075,0.27,NaN
1967-12-31,0.33147440130329997,-42.514843745913765,0.41304988545204924,1.121507082013995,1.0425,-0.08498685292224195,2.774441066029154,0.27,NaN
1968-03-31,1.4062410420863314,-43.351263764989206,1.3605702475854686,1.1458266187361676,1.1975,1.8831952104074068,1.7818967084757054,0.30499999999999994,NaN
1968-06-30,1.278208681020132,-42.66125895466585,0.9370722006377064,1.0237749381999617,1.495,1.0524389481788798,-1.0638526289488803,0.31999999999999984,NaN
1968-09-30,0.28280095687109874,-42.640077558705855,0.5044545159940572,0.9413538015289102,1.4875,1.450665595595746,0.704444684804173,0.3500000000000001,NaN
1968-12-31,0.02196869333956908,-43.09980685673933,1.0396536307019755,1.324522675002049,1.48,-0.31154887749258453,2.930853963615232,0.31500000000000017,NaN
1969-03-31,1.0275854348193558,-42.69485061947816,-0.02535108801019481,0.9555903542415756,1.6425,0.5190507188536753,2.6575980824484757,0.30000000000000004,NaN
1969-06-30,-0.2066818668079895,-42.60181930804279,0.644423616187817,1.1904902506318482,2.0825,0.11950854847886383,-0.2038546514282369,0.31000000000000005,NaN
1969-09-30,0.07969956653572918,-42.3835427298035,0.3848577726817626,1.4169927775860458,2.245,-0.28062815985026024,0.4860021455323382,0.2649999999999999,NaN
1969-12-31,-1.0160929157147836,-42.60699416245118,0.5082188911611607,1.2617388187789569,2.235,0.17644812510961838,-3.1842699121362616,0.26749999999999985,NaN
1970-03-31,-0.6731291417318319,-43.38675947647435,0.2925552675234977,1.4466190036634075,2.14,-0.1506066290572372,-1.7486190919187905,0.3474999999999999,NaN
1970-06-30,-0.38321244890917594,-44.62296030659834,0.3163859823353432,1.3930573535946955,1.97,-0.2945143956478269,-1.9101090998401515,0.3175000000000001,NaN
1970-09-30,0.41551668387511675,-45.71383337237262,1.2764328035152928,0.8200800429891686,1.6775,0.5798166494095369,0.07683901590127551,0.48750000000000004,NaN
1970-12-31,-1.5317655500741045,-46.48483290627324,-0.5040894941178209,1.3305404791071673,1.3925,-0.8176351716466579,-0.5283238026272841,0.6074999999999999,NaN
1971-03-31,2.159448724682189,-46.932729077352796,0.5011914741238993,1.5355388083194477,0.965,0.8251505164808437,1.9568924131017296,0.6275,NaN
1971-06-30,-0.01620084069884342,-47.17120740052253,0.24418804513379466,1.3558460895103597,1.1425,0.1581125652285742,3.6169654965759745,0.5899999999999999,NaN
1971-09-30,0.12654216565435306,-47.57321616130089,0.5156357630959257,1.0591999337179914,1.37,0.15456688176724853,1.361009722558837,0.5549999999999997,NaN
1971-12-31,-0.2960410477648612,-46.41606321250033,-0.05499552849662359,0.8332095727021205,1.1875,0.8863829606493123,2.122012792670769,0.6300000000000001,NaN
1972-03-31,1.4313120257013034,-45.75472338354243,0.8346181523608304,1.4643336701090082,0.8875,0.351247567019497,3.69381880754005,0.55,NaN
1972-06-30,1.7314528284672281,-45.500747490077984,0.5863117823472513,0.5436437430461183,1.075,1.2957342904425628,1.2739046432273415,0.5200000000000002,NaN
1972-09-30,0.46668635554687476,-45.62826796146204,0.617315159578119,0.8697010883670142,1.185,0.9403995897185435,0.6897870994851729,0.47,NaN
1972-12-31,1.1589366658402822,-45.24488449618488,0.8256718109045491,1.364196719859212,1.2875,1.218797353797152,4.173785427339616,0.405,NaN
1973-03-31,2.1124602792378377,-44.78943111051994,1.646743096996267,1.20042431113494,1.635,1.229724995061443,3.3533915804000114,0.3425,NaN
1973-06-30,0.13533578927888978,-44.204614397582134,-0.28016997460741655,1.673920758985581,1.955,-0.4364861742230275,0.3477319350770669,0.32000000000000006,NaN
1973-09-30,-0.8492370911253877,-44.392250296870046,-0.18411133575265415,1.899419258377577,2.64,-0.24667003422589318,-0.678519587638049,0.31500000000000017,NaN
1973-12-31,0.4665277896087172,-43.875097908633194,0.4614773474901662,1.8915723935292394,2.5,-0.6687781135392923,-2.2558342969476564,0.4224999999999999,NaN
1974-03-31,-1.5122151412891416,-44.405734221084955,0.3343593051613053,1.9645925173085832,2.3325,-0.4314590314745237,-2.980041354827112,0.37249999999999983,NaN
