"date","obs_gdp","obs_hours","obs_wages","obs_gdpdeflator","obs_nominalrate","obs_consumption","obs_investment","obs_longinflation","obs_nominalrate1","obs_nominalrate2","obs_nominalrate3","obs_nominalrate4","obs_nominalrate5","obs_nominalrate6"
"1959-09-30",-0.5421054976987305,NaN,0.3395096419232191,0.3268866980520535,0.8925,0.9323573521309081,0.8901300965534764,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1959-12-31",-0.02077143827796668,NaN,0.561505271318774,0.4125284035196852,0.9975,-0.13214322125085776,-1.973314714554819,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1960-03-31",2.0780767437981185,NaN,1.8727843681441758,0.20562777808197374,0.9825,0.5010218225258711,2.9520573559008723,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1960-06-30",-0.9411786112765386,NaN,0.17646053568000086,0.42075798400151854,0.925,0.9994789039293073,-2.6027818221807886,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1960-09-30",-0.29319696068337286,NaN,0.10365135094445588,0.45651144025629087,0.735,-0.8539558781563317,-3.6073831852384775,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1960-12-31",-1.801265875871083,NaN,0.00699667049253172,0.4277623889801685,0.575,-0.19498029930036243,-1.4686342070743486,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1961-03-31",0.3236729833511198,NaN,0.7579688477290403,0.12797271662257081,0.4975,-0.3447792196660915,-1.9937425338824033,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1961-06-30",1.5042545175945055,NaN,1.2097279702185548,0.19165252885016137,0.4325,0.9229569327042775,1.0772395974738558,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1961-09-30",1.30260946698606,NaN,0.48709177584062013,0.2602715728416083,0.42,0.2221161637824265,1.6445958974415031,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1961-12-31",1.729047551465479,NaN,0.4500844798233872,0.2595959180821339,0.6,1.4498333641611572,2.622184041043707,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1962-03-31",1.4273668492215341,NaN,1.029903246112951,0.5750629158419951,0.615,0.5577881245942606,1.3318294932250119,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1962-06-30",0.6020800370616586,NaN,0.40988638905147257,0.25219369222222454,0.6525,0.9674010928350851,2.4543535081259726,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1962-09-30",0.5194305232389507,NaN,0.42167726863063804,0.2672607381476677,0.7125,0.4064599535069213,0.08483575478397398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1962-12-31",-0.16658557113651273,NaN,0.5818515233878774,0.35002517256041976,0.73,0.9864868180816888,-1.3278513410667658,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1963-03-31",0.8817738153921173,NaN,0.6828891404212833,0.2812208915130565,0.7425,0.30766231055137094,0.546408561743239,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1963-06-30",0.9581453189808187,NaN,0.42045694557740765,0.09876030638729105,0.74,0.6118877254185806,3.8551823457207757,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1963-09-30",1.4976110694585376,NaN,0.8386935219925395,0.1816719505145059,0.8325,1.2706630178057399,1.7061274467052634,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1963-12-31",0.5497947233319866,NaN,0.5395647732472364,0.5997639611500905,0.8625,0.20716453797007262,2.3270700215219486,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1964-03-31",1.7723056174650642,-44.64566949215445,-0.4297798311054257,0.3601938647804115,0.865,1.7150312468416917,2.670837306625462,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1964-06-30",0.7115735004181722,-43.36089620854023,0.7644629976566009,0.3333080028511848,0.8725,1.2438896816340472,-0.08361855785620209,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1964-09-30",0.8740099492172693,-43.88381543400396,0.8140384207921181,0.4953412400610979,0.865,1.309136396219035,0.882343575473854,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1964-12-31",-0.07462237036446329,-43.66888785511106,0.27767323195493354,0.4574108402035648,0.895,-0.23506861265307766,0.9913881634224353,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1965-03-31",2.1325835962254125,-43.10091170233265,-0.030711254608950522,0.4250373245948236,0.995,1.7177404447556333,3.619829899667426,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1965-06-30",0.9498482876712622,-42.46931846168846,0.2263187157438451,0.4433479980960442,1.02,0.7961071078463666,2.210836316430953,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1965-09-30",1.5765574781127834,-42.43777415885064,0.6069695443604695,0.4363862165567056,1.02,1.2713945118563608,2.038490676450211,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1965-12-31",2.0412540643953037,-42.171789434996995,0.8475189878179856,0.6137284438735957,1.0425,2.0768473288319766,2.396687763872263,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1966-03-31",2.0795735913425872,-41.80746134315232,1.127291613700443,0.6149287911815016,1.14,1.2429211267888984,2.1986614959471296,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1966-06-30",-0.14339244724308475,-41.86178530408951,0.6197045803988943,0.9398519175864983,1.2275,-0.24008720846164788,-0.8938779362091642,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1966-09-30",0.37154685212530403,-42.08364061683538,0.49411570681038297,0.9262485175119739,1.3525,0.6071197979128806,-1.3913093697132783,NaN,NaN,NaN,NaN,NaN,NaN,NaN
