"date","obs_gdp","obs_hours","obs_wages","obs_gdpdeflator","obs_nominalrate","obs_consumption","obs_investment"
"1959-09-30",-0.7219865527268832,NaN,NaN,0.38986404156573506,0.8925,0.8742029083429692,0.46472449917938086
"1959-12-31",0.06312153983909496,NaN,NaN,0.38835000263977015,0.9975,-0.12491310725812887,-1.986442261824628
"1960-03-31",1.5195749187568053,NaN,NaN,0.7722046093910251,0.9825,-0.009904188783949053,2.36240997280448
"1960-06-30",-0.5827398296421205,NaN,NaN,0.0,0.925,1.5209758207183288,-2.9172657756627585
"1960-09-30",-0.1874496702706896,NaN,NaN,0.383877630716567,0.735,-0.7205900231536777,-3.5062647522958956
"1960-12-31",-0.956779839624744,NaN,NaN,-0.383877630716567,0.575,0.6289397910048677,-0.6834566264792397
"1961-03-31",0.0883329400431565,NaN,NaN,0.383877630716567,0.4975,-0.5976373472202479,-2.0238628790153257
"1961-06-30",1.3265709355089639,NaN,NaN,0.38240964384033127,0.4325,0.6421592606299598,0.9465243645103927
"1961-09-30",0.8872863731586023,NaN,NaN,0.7604599385219402,0.42,-0.3493834878283586,0.8149092192462515
"1961-12-31",1.6301423457001363,NaN,NaN,0.3780722839906048,0.6,1.318311249942239,2.896228865718764
"1962-03-31",1.1108226449736192,NaN,NaN,0.7518832414027177,0.615,0.2702338299543694,0.4562154293491272
"1962-06-30",0.5814765189870563,NaN,NaN,0.3738322110607317,0.6525,0.8258880392535861,2.8410801751161507
"1962-09-30",0.44218019384250074,NaN,NaN,0.37243990909821,0.7125,0.38178789782765676,0.505031689616553
"1962-12-31",-0.27788949576939004,NaN,NaN,0.37105793965359624,0.73,1.0039334055292226,-1.3684373142860862
"1963-03-31",0.8312839334386091,NaN,NaN,0.3696861881326008,0.7425,0.3223308472613873,0.1257529555456438
"1963-06-30",1.0749952184220923,NaN,NaN,0.0,0.74,0.7066821287805336,3.9875768854001903
"1963-09-30",1.3604110378372392,NaN,NaN,0.3683245416296277,0.8325,1.0167672510163595,1.1345682337199792
"1963-12-31",0.33985504403926114,NaN,NaN,0.732604009207316,0.8625,0.047871716624170446,2.32279539571274
"1964-03-31",1.892142036809874,-44.1261916806125,NaN,0.36429912785012064,0.865,1.4325194916773754,0.7102492829086815
"1964-06-30",0.637147774197877,-43.102168391593985,0.8653931330925568,0.36297680505787966,0.8725,1.1120750266309098,0.03346253908598218
"1964-09-30",0.8807769442721991,-43.62441715853351,0.8617850324365726,0.36166404701880595,0.865,1.2531046005751723,0.7909079919156126
"1964-12-31",-0.24189392151194866,-43.15209681442397,-0.09034292743224093,0.7194275634027303,0.895,-0.6764402973059802,0.19734143090572864
"1965-03-31",1.5577015619002488,-42.58545336959247,-0.4340739930064244,1.0695289116747997,0.995,1.0519432691112218,4.474014258199821
"1965-06-30",1.036813413433224,-42.21126128174901,0.2867675627514707,0.3539826705123872,1.02,0.7923917645991541,2.349699355833579
"1965-09-30",1.2651290994091013,-42.43778237416379,0.5216805438773522,0.7042282625413065,1.02,0.9290996978934984,1.5275671939221969
"1965-12-31",2.0405202300667113,-41.91306598826516,0.5222963655182516,0.6993035490970634,1.0425,1.975457345036169,1.9290972517929772
"1966-03-31",1.6046721397593666,-41.549406217717724,0.7411940805537226,1.039870722089864,1.14,0.779161730252298,1.7687018750233374
"1966-06-30",-0.20528989957058208,-41.8617953578846,0.6723906734960462,1.029168603654762,1.2275,-0.4465188791862307,-0.33781012476981065
"1966-09-30",0.6432654643748092,-41.5641693591404,0.941315023277145,0.6802747322752545,1.3525,0.8316887888933255,-1.6827886208425458
"1966-12-31",-0.043625010955583576,-41.69319107790045,-0.34198470662899283,1.3468217050866205,1.39,-0.7144715073354124,-4.167704911977621
"1967-03-31",0.4355186816062506,-42.72146111438816,1.135159864074231,0.33389012655149486,1.205,0.21999290692300555,-2.289188447958712
"1967-06-30",0.03181421429858666,-43.062184183455656,1.17355681021705,0.33277900926744763,0.9975,1.091644108440759,2.285328521565644
"1967-09-30",0.659916386562931,-42.507978554248304,0.040326116971677387,0.9917436657346013,0.9725,-0.07190378993948698,0.5644206738960822
"1967-12-31",0.06755683105794663,-42.51477311630155,0.28880753970054046,1.3072081567353067,1.0425,-0.3530160323168996,2.174764026239062
"1968-03-31",1.1553946553156003,-43.35120818151375,1.8379148355195922,1.2903404835907573,1.1975,1.5873646947463182,2.2000482313956127
"1968-06-30",1.059664708397623,-42.66121583774757,0.27804560546274576,1.2739025777429802,1.495,0.680909813544206,-1.298050128399142
"1968-09-30",0.161514969241483,-42.64004432618451,0.22925214212748002,1.257878220686015,1.4875,1.2008453300369037,0.15312536315479353
"1968-12-31",-0.2170883199388074,-43.09978095213791,1.118572440636838,1.2422519998557036,1.48,-0.1849819534434971,2.677767892429972
"1969-03-31",1.1652694165786404,-42.694829533815636,0.42135539864940236,0.921665510492442,1.6425,0.7050798019748061,2.950665323197077
"1969-06-30",-0.5301613504522074,-42.60180059681999,-0.1773187641397847,1.5174798019235158,2.0825,-0.031238232668862054,-0.3232231839634059
"1969-09-30",0.05964697515270512,-42.38352402671613,0.29086668051356984,1.4947961435872958,2.245,-0.31275661978069635,0.014189948902187943
"1969-12-31",-0.551640283248922,-42.60697319132534,0.8846784336587927,0.8862687257845447,2.235,0.5086819623661754,-2.5173913180362772
"1970-03-31",-0.8796203546022952,-43.38673406284613,0.7278639489528415,1.459879942115272,2.14,-0.30790063872712103,-2.2525781820906365
"1970-06-30",-0.8462511862454392,-44.62292839027268,-0.42114253918602507,1.724180643450568,1.97,-0.7551203137086571,-2.671334076937759
