date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_nominalrate,obs_consumption,obs_investment,obs_longinflation
1959-09-30,-0.44509672628521013,NaN,0.6017424856252451,0.13086152358203762,0.8925,1.1883161034537348,1.0854536714219654,NaN
1959-12-31,0.057486071432810704,NaN,1.0577405171197651,0.39156021313693223,0.9975,-0.1437313018249231,-2.086082580105253,NaN
1960-03-31,1.789865434094362,NaN,1.7020362059815164,0.43327624107538654,0.9825,0.27142327439029224,2.7283964894559753,NaN
1960-06-30,-0.9852665949322548,NaN,-0.38835000263977015,0.38835000263977015,0.925,1.0291400635892511,-2.70428210435949,NaN
1960-09-30,-0.24794737803177647,NaN,0.27201874461003084,0.4297385212546079,0.735,-0.8276761994909343,-3.5885385018932014,NaN
1960-12-31,-1.6782638587890197,NaN,0.35440084347292955,0.3424660881364172,0.575,-0.11087836001340001,-1.25004517106726,NaN
1961-03-31,0.21852938491604412,NaN,1.1658849603703225,0.2134472528632525,0.4975,-0.40106302068285693,-2.081688651650615,NaN
1961-06-30,1.4025054667217152,NaN,0.4270597410709842,0.2555367659689889,0.4325,0.8271553683252719,0.8798036507606577,NaN
1961-09-30,1.3868595726696409,NaN,0.46551907539711945,0.21244962314077576,0.42,0.26862231918234336,1.6981804406559942,NaN
1961-12-31,1.6734970696419271,NaN,1.045628791671016,0.2966732415430329,0.6,1.410086103253061,2.593298598341498,NaN
1962-03-31,1.3566915217505082,NaN,0.8179787468186872,0.5065439281833672,0.615,0.4275513284863308,1.4058845170185297,NaN
1962-06-30,0.6721181794727915,NaN,0.40342705280378977,0.25231300181212113,0.6525,1.0514886469538798,2.340054894929744,NaN
1962-09-30,0.5865161902901539,NaN,0.399790116922627,0.251677985196741,0.7125,0.5040211005233441,0.22359652940366903,NaN
1962-12-31,-0.16000293437203883,NaN,0.9975145056819512,0.29282597790887266,0.73,1.0421684311287205,-1.2722374273836268,NaN
1963-03-31,0.9302225818663468,NaN,0.3886667880652561,0.25031302181184323,0.7425,0.2843940268987488,0.4601472741722956,NaN
1963-06-30,0.7663009758229311,NaN,0.34368062316237347,0.2912421447034852,0.74,0.4717746563213776,3.562882924869104,NaN
1963-09-30,1.4887549934637923,NaN,1.050366214285603,0.20751200640041212,0.8325,1.2433390895731034,1.577996378505997,NaN
1963-12-31,0.3686926014749181,NaN,0.5399148843460655,0.7023371155096214,0.8625,0.1292172516488055,2.2427640721703,NaN
1964-03-31,1.9655371389357912,-44.12657136180852,0.9802986077296572,0.24671065145178694,0.865,1.7511412921001668,2.802552214815246,NaN
1964-06-30,0.7536533388087907,-43.10255214842403,0.36180112001124587,0.24610348762696965,0.8725,1.306117551108965,0.006867215078765199,NaN
1964-09-30,0.8015731980670848,-43.6247950323603,1.3522278839536384,0.4496226663142089,0.865,1.3308937031948798,0.8343303639899657,NaN
1964-12-31,0.014636313086957564,-43.152461024673535,0.10527079225060021,0.48820275973082694,0.895,-0.2657048591358402,0.9717642863910303,NaN
1965-03-31,2.0910898631248065,-42.585798046608645,0.06376172912394007,0.5262104835949355,0.995,1.6636358789662742,3.544870676977907,NaN
1965-06-30,0.9786131891532435,-42.21158221207909,0.14340950826875476,0.44310243697105456,1.02,0.8416974852356596,2.1346273720177056,NaN
1965-09-30,1.4501180948792047,-42.4380767619161,0.6416560976570007,0.5211477018549182,1.02,1.2299802524047498,1.8809928554091693,NaN
1965-12-31,2.0716382057657245,-41.91333223500583,0.5117315168038206,0.6377064257696574,1.0425,2.136234100847978,2.397022568619911,NaN
1966-03-31,2.0346712353732643,-41.54964372247593,1.105578823982023,0.5941788128751124,1.14,1.280581724208063,2.156142910353598,NaN
1966-06-30,0.022273590250287967,-41.8620043378363,0.8453846996323566,0.8259633977417025,1.2275,-0.1284402084458236,-0.8618556424723645,NaN
1966-09-30,0.3347663309749116,-41.5643506909684,0.08565329357343998,1.0132588639860884,1.3525,0.5367245152619438,-1.4790124711843156,NaN
1966-12-31,0.4139241437244756,-41.69334615917284,0.7381867680674448,0.8878653191105812,1.39,-0.1281393082067872,-3.340134972713815,NaN
1967-03-31,0.42962434140836336,-42.72159174394734,1.1399106234724288,0.4601235111716395,1.205,0.12017310999627995,-2.7839846835977955,NaN
1967-06-30,-0.33843746508084305,-43.06229245954464,0.4044026130862244,0.6482386856125455,0.9975,0.829019130797426,2.0129297188300033,NaN
1967-09-30,0.3762107234536183,-42.508066788918406,0.4622610281245998,1.0962120735451997,0.9725,-0.030115895113391744,0.12101304721732209,NaN
1967-12-31,0.33147440100644854,-42.51484376454531,0.41304988545204924,1.121507082013995,1.0425,-0.08498685321911559,2.774441065732325,NaN
1968-03-31,1.4062410422188476,-43.35126378348825,1.3605702475854686,1.1458266187361676,1.1975,1.883195210539923,1.7818967086081994,NaN
1968-06-30,1.2782086816813587,-42.66125897250366,0.9370722006377064,1.0237749381999617,1.495,1.0524389488400843,-1.0638526282876537,NaN
1968-09-30,0.28280095816981543,-42.64007757524497,0.5044545159940572,0.9413538015289102,1.4875,1.450665596894507,0.7044446861028897,NaN
1968-12-31,0.021968695393281834,-43.09980687122472,1.0396536307019755,1.324522675002049,1.48,-0.311548875438894,2.9308539656689447,NaN
1969-03-31,1.0275854377529203,-42.69485063102992,-0.02535108801019481,0.9555903542415756,1.6425,0.5190507217872842,2.6575980853820957,NaN
1969-06-30,-0.20668186286356693,-42.60181931565016,0.644423616187817,1.1904902506318482,2.0825,0.11950855242326419,-0.20385464748383653,NaN
