date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_nominalrate,obs_consumption,obs_investment
1959-09-30,-0.43264240365772366,NaN,0.4409928051492429,0.23638962210332792,0.8925,1.022664987385724,0.9799255732628742
1959-12-31,-0.027252106323705227,NaN,0.5465387802934873,0.41834023456428504,0.9975,-0.138421725537885,-1.9797953826005354
1960-03-31,1.8283902628420723,NaN,1.6478456735213975,0.43570967400428096,0.9825,0.3012387153439544,2.721348007557056
1960-06-30,-0.8691878748408488,NaN,0.2422237741249056,0.3481582150403728,0.925,1.0414459024336242,-2.5307622314142186
1960-09-30,-0.21727055675939688,NaN,0.18610442760275125,0.3801563217347592,0.735,-0.7480774902766552,-3.531557389621054
1960-12-31,-1.6678019611843231,NaN,0.1392559044255337,0.2936303317374378,0.575,-0.09120700473617127,-1.3349789460544326
1961-03-31,0.234078121790815,NaN,0.6700788706317462,0.21729896594337994,0.4975,-0.434485038537602,-2.083492932743325
1961-06-30,1.5023564694220726,NaN,1.1915073773501705,0.21211914903931373,0.4325,0.9025562884678706,1.056400361632348
1961-09-30,1.2340614339030997,NaN,0.4307691398041713,0.3102964407904363,0.42,0.17201667396449238,1.5942478826088458
1961-12-31,1.6513801432813224,NaN,0.3717886316200292,0.3374106954757927,0.6,1.4008924052912874,2.54409281232737
1962-03-31,1.4148702452712048,NaN,1.02392701919381,0.5877430857067711,0.615,0.54487492717048,1.3189162958012313
1962-06-30,0.7227204922403141,NaN,0.5055337014400918,0.14871964445792862,0.6525,1.043000282692641,2.557634359059935
1962-09-30,0.545335439744532,NaN,0.44728326425755305,0.2411986882969952,0.7125,0.46004653108895344,0.11074067128957754
1962-12-31,-0.13122368657085826,NaN,0.6236565689780205,0.3145383970711624,0.73,0.9949199290902211,-1.2924894565010892
1963-03-31,0.9202584713708495,NaN,0.7348970577865821,0.22604092198634795,0.7425,0.3630044051454062,0.6014921056345601
1963-06-30,0.8754905123160572,NaN,0.3229084675861027,0.1979423851585782,0.74,0.5129225097093348,3.755928651143403
1963-09-30,1.4816813926735728,NaN,0.817496132454204,0.1975513471826229,0.8325,1.2552117044710487,1.6901977699202764
1963-12-31,0.40419278570442696,NaN,0.40049291387868613,0.7453337048574316,0.8625,0.08746598087849833,2.1814680838944334
1964-03-31,1.8368058607339366,-44.64605303951997,-0.36307641648106737,0.2956765180930798,0.865,1.7545533458568352,2.7353375498943233
1964-06-30,0.7711307632116471,-43.361284493520415,0.8326067957737882,0.2585680408141666,0.8725,1.3436030503101826,-0.008883333433828966
1964-09-30,0.9911623606600806,-43.8841985372305,0.9136787090073595,0.3933719720008,0.865,1.3871443989440069,0.9843180252877559
1964-12-31,-0.11236053708276739,-43.66925802624018,0.2500646296885345,0.4951619390193507,0.895,-0.24884033228242952,0.9536499967041312
1965-03-31,2.0515136156779468,-43.10126308978295,-0.11487536742441629,0.5061260888210573,0.995,1.6366704642081453,3.538759919119938
1965-06-30,0.9607909937111803,-42.469646854394554,0.23390669625751315,0.43242828680032375,1.02,0.7841900583861028,2.221779022470871
1965-09-30,1.6444323538699734,-42.43807674366767,0.6721644797955784,0.36853714868851917,1.02,1.3397402479122134,2.1063655522074343
1965-12-31,2.0188249075785203,-42.172064572227974,0.8303539377290003,0.6361850482764719,1.0425,2.0768070672167127,2.3742586070554794
1966-03-31,2.0448640222587855,-41.80770836179184,1.089013683832829,0.6496664788567585,1.14,1.2082115577050967,2.163951926863361
1966-06-30,-0.044421124171267756,-41.8620043173918,0.7239811001954588,0.8409085998519306,1.2275,-0.1411158853898309,-0.7949066131373916
1966-09-30,0.2868395330982043,-42.08383235826795,0.36630276025965136,1.048802207504318,1.3525,0.4639854456626624,-1.5138357878359376
1966-12-31,0.4123797894105552,-41.95410248005563,0.4376014228857583,0.914614461882346,1.39,-0.0909674380687786,-3.1768152636487135
1967-03-31,0.4844762580417106,-43.24652731399179,0.8267457683551277,0.4541892902349076,1.205,0.027000317987568856,-2.757875908089369
1967-06-30,-0.3811790364676382,-43.58999815311233,1.097782716732096,0.5448453915088081,0.9975,0.8782129475129574,1.9993691943018255
1967-09-30,0.37403179427504263,-43.03577248547423,0.41337487686729235,0.9808109475970994,0.9725,0.05113468482915717,0.22132618880865707
1967-12-31,0.34185165092772696,-42.7790447013683,0.32257831604681486,1.103379370609625,1.0425,-0.061517211170736275,2.833996203722089
1968-03-31,1.6191918980569042,-43.61616459648214,1.6902109396386256,1.087257105165662,1.1975,1.9169653071751558,1.8863805506124875
1968-06-30,1.249501580431378,-42.926159792176364,0.6220106141151427,1.0432618115874703,1.495,1.0426290303123142,-1.0872822297117501
1968-09-30,0.2409166559273146,-43.16917934941327,0.6678541501660196,0.9845170035991391,1.4875,1.4886699533211534,0.6405094856209215
1968-12-31,-0.03641014510149532,-43.36541129765362,0.568157787383522,1.4056217133587179,1.48,-0.3014919955860895,2.804456006061107
1969-03-31,1.1051286375299618,-42.960455069163146,0.2620813373736208,1.0355470274676648,1.6425,0.5961383607561155,2.678880152998675
1969-06-30,-0.18194784905587458,-42.86742376741979,0.3091884500663833,1.2872386178182538,2.0825,0.15710622068241253,-0.24736090755295148
1969-09-30,0.1320321014345982,-42.9154589417017,0.35177986306750286,1.4305082340063002,2.245,-0.2135104783355768,0.5800234705327423
1969-12-31,-0.9809885138259311,-42.873305979918015,0.6417586162089844,1.2941867582187072,2.235,0.15693353796131237,-2.9969966296884087
1970-03-31,-0.668927062940261,-43.65449734114005,0.42055214713884737,1.418199496840744,2.14,-0.14113274721583302,-1.588600385805583
