"date","obs_gdp","obs_hours","obs_laborshare","obs_corepce","obs_nominalrate","obs_spread","obs_nominalrate1","obs_nominalrate2","obs_nominalrate3","obs_nominalrate4","obs_nominalrate5","obs_nominalrate6"
"1959-09-30",-2.168421990791991,NaN,-59.00668986311152,2.6103328796427405,3.57,0.6200000000000001,NaN,NaN,NaN,NaN,NaN,NaN
"1959-12-31",-0.08308575310902455,NaN,-58.642360364541645,2.296657027070026,3.99,0.6899999999999995,NaN,NaN,NaN,NaN,NaN,NaN
"1960-03-31",8.312306975195316,NaN,-58.328070298141284,1.2702455895546194,3.93,0.8199999999999994,NaN,NaN,NaN,NaN,NaN,NaN
"1960-06-30",-3.7647144451035786,NaN,-57.228598683647846,1.5400456776042404,3.7,0.9900000000000002,NaN,NaN,NaN,NaN,NaN,NaN
"1960-09-30",-1.1727878427311822,NaN,-57.52381288993625,1.6180316775233905,2.94,1.2699999999999996,NaN,NaN,NaN,NaN,NaN,NaN
"1960-12-31",-7.205063503482023,NaN,-56.685021881688,1.3189931084829354,2.3,1.2099999999999995,NaN,NaN,NaN,NaN,NaN,NaN
"1961-03-31",1.2946919334069662,NaN,-57.20027972008569,0.6891692518500747,1.99,1.2699999999999996,NaN,NaN,NaN,NaN,NaN,NaN
"1961-06-30",6.017018070379976,NaN,-57.86265210703581,1.3123986462707293,1.73,1.2299999999999995,NaN,NaN,NaN,NaN,NaN,NaN
"1961-09-30",5.21043786794575,NaN,-58.15097725701589,1.7639000335496036,1.68,1.1300000000000003,NaN,NaN,NaN,NaN,NaN,NaN
"1961-12-31",6.91619020586316,NaN,-58.38130557568243,0.9926589728941337,2.4,1.1400000000000001,NaN,NaN,NaN,NaN,NaN,NaN
"1962-03-31",5.709467396886758,NaN,-58.671104154413335,1.5049624762545122,2.46,1.04,NaN,NaN,NaN,NaN,NaN,NaN
"1962-06-30",2.4083201482471672,NaN,-58.04065576044967,1.5198210931544054,2.61,1.1399999999999997,NaN,NaN,NaN,NaN,NaN,NaN
"1962-09-30",2.0777220929558027,NaN,-58.34570680968505,1.268932705601955,2.85,1.0599999999999996,NaN,NaN,NaN,NaN,NaN,NaN
"1962-12-31",-0.6663422845465838,NaN,-57.87596065057701,0.7145593325553534,2.92,1.06,NaN,NaN,NaN,NaN,NaN,NaN
"1963-03-31",3.527095261567492,NaN,-57.95221550522255,1.3033307529244809,2.97,0.9999999999999996,NaN,NaN,NaN,NaN,NaN,NaN
"1963-06-30",3.832581275921676,NaN,-57.944459358472386,1.4206722529644722,2.96,0.8899999999999997,NaN,NaN,NaN,NaN,NaN,NaN
"1963-09-30",5.990444277831752,NaN,-58.5513245309736,1.4963871654920524,3.33,0.8099999999999996,NaN,NaN,NaN,NaN,NaN,NaN
"1963-12-31",2.1991788933250156,NaN,-58.309366899770524,1.9530403987600309,3.45,0.7199999999999998,NaN,NaN,NaN,NaN,NaN,NaN
"1964-03-31",7.089222469856882,541.2572371366628,-59.02527573973126,1.7236222681701108,3.46,0.6500000000000004,NaN,NaN,NaN,NaN,NaN,NaN
"1964-06-30",2.8462940016685145,542.0062139304117,-58.4120605138749,1.2579568585909584,3.49,0.6499999999999995,NaN,NaN,NaN,NaN,NaN,NaN
"1964-09-30",3.4960397968639256,542.383536226272,-58.18979969220916,1.1546317677394669,3.46,0.6299999999999999,NaN,NaN,NaN,NaN,NaN,NaN
"1964-12-31",-0.29848948146389276,543.0686430615308,-57.358952154519336,1.0521881144613943,3.58,0.6399999999999997,NaN,NaN,NaN,NaN,NaN,NaN
"1965-03-31",8.530334384894811,544.2116340818455,-58.57189464088892,1.484231758614385,3.98,0.5899999999999999,NaN,NaN,NaN,NaN,NaN,NaN
"1965-06-30",3.7993931506773215,544.7893239240541,-58.59806424567703,1.2425126476278692,4.08,0.6100000000000003,NaN,NaN,NaN,NaN,NaN,NaN
"1965-09-30",6.306229912441985,545.2548584675911,-58.92493999249536,1.21903358212343,4.08,0.6399999999999997,NaN,NaN,NaN,NaN,NaN,NaN
"1965-12-31",8.165016257571711,546.1501873754893,-59.01439561814852,1.3327465903776314,4.17,0.5,NaN,NaN,NaN,NaN,NaN,NaN
"1966-03-31",8.31829436535978,547.4870541842441,-59.1347746346257,2.029767712402908,4.56,0.40000000000000036,NaN,NaN,NaN,NaN,NaN,NaN
"1966-06-30",-0.5735697889834412,548.1790853775576,-57.740352124768975,3.2572522581949315,4.91,0.71,NaN,NaN,NaN,NaN,NaN,NaN
"1966-09-30",1.4861874084896698,548.4810607803782,-56.89264293470195,3.30755213752596,5.41,0.7300000000000004,NaN,NaN,NaN,NaN,NaN,NaN
"1966-12-31",1.8429157822987818,548.7217044917901,-56.829755951676205,3.489308777166933,5.56,1.1399999999999997,NaN,NaN,NaN,NaN,NaN,NaN
"1967-03-31",1.847104568290625,548.4483774747836,-56.82430155079392,2.196143343282664,4.82,1.2999999999999998,NaN,NaN,NaN,NaN,NaN,NaN
"1967-06-30",-1.8370148673026776,547.788309444087,-56.15025235305704,2.6533157764607296,3.99,1.1600000000000001,NaN,NaN,NaN,NaN,NaN,NaN
"1967-09-30",1.8316998555562236,548.0175195942443,-55.8749974091012,3.6035438712509915,3.89,1.08,NaN,NaN,NaN,NaN,NaN,NaN
"1967-12-31",1.411945562537742,548.2249425734441,-55.46148270397323,3.99485473218526,4.17,1.08,NaN,NaN,NaN,NaN,NaN,NaN
"1968-03-31",6.541518217975106,548.2171396209069,-55.61267691209557,4.483428688756064,4.79,1.2199999999999998,NaN,NaN,NaN,NaN,NaN,NaN
